run_id,model_name,dataset_name,num_epochs,learning_rate,batch_size,dataset_size,dataset_phase_sizes,best_auc,best_epoch,best_acc,best_acc_epoch,best_loss,best_loss_epoch,dropout,device,training_duration_seconds,Unnamed: 0,max_audio_seconds,sample_rate,weight_decay,stft_frame_length,stft_frame_step,n_mels,mel_fmin,mel_fmax,label_set_training,class_weighting_on,flocal_loss_on,focal_loss_on,balanced_cry_types,early_stopping_epoch,run_desc,run_time,balanced_cry_types_augmented,balanced_cry_types_by_removal,balanced_cry_types_spec_augmentation,balanced_cry_types_mixup_augmentation
45.0,CryCNNClassifierComplex,EnesBabyCries1B,20.0,0.001,30.0,23067.0,"{'train': 17300, 'val': 3460, 'test': 2307}",0.810476019317531,18.0,0.63150289017341,19.0,0.84980660074019,18.0,0.2,mps,1059.75297617912,,1.5,22050.0,0.0001,512.0,128.0,80.0,20.0,11025.0,"{'lo', 'hu', 'dc'}",False,,False,True,,,,,,,
46.0,CryCNNClassifierComplex,EnesBabyCries1B,20.0,0.001,30.0,23067.0,"{'train': 17300, 'val': 3460, 'test': 2307}",0.820306797800485,15.0,0.64364161849711,15.0,0.83625955939982,15.0,0.2,mps,1313.6162109375,,1.5,22050.0,0.0001,512.0,128.0,80.0,120.0,11025.0,"{'lo', 'hu', 'dc'}",False,,False,True,,"Adjusting min mel frquency to 120, which should be fine for a baby cry. May give us more detail in the data.",2026-05-21_10-46-19,,,,
47.0,CryCNNClassifierComplex,EnesBabyCries1B,20.0,0.001,30.0,23067.0,"{'train': 17300, 'val': 3460, 'test': 2307}",0.798221581917446,19.0,0.619364161849711,19.0,0.898054958595706,19.0,0.2,mps,1140.64426589012,,1.5,22050.0,0.001,512.0,128.0,80.0,120.0,11025.0,"{'lo', 'hu', 'dc'}",False,,False,True,,Raising weight_decay of L2 to see if it reduces overfitting.,2026-05-21_11-14-13,,,,
48.0,CryCNNClassifierComplex,EnesBabyCries1B,20.0,0.001,30.0,23067.0,"{'train': 17300, 'val': 3460, 'test': 2307}",0.809900274425904,18.0,0.627167630057804,17.0,0.846229737376891,18.0,0.2,mps,973.543993711472,,1.5,22050.0,5e-05,512.0,128.0,80.0,120.0,11025.0,"{'lo', 'hu', 'dc'}",False,,False,True,,Raising weight_decay of L2 to see if it reduces overfitting.,2026-05-21_11-44-14,,,,
51.0,CryCNNLSTMClassifier,EnesBabyCries1B,20.0,0.001,30.0,23067.0,"{'train': 17300, 'val': 3460, 'test': 2307}",,,,,,,0.2,mps,,,1.5,22050.0,5e-05,512.0,128.0,80.0,120.0,11025.0,"{'lo', 'hu', 'dc'}",False,,False,True,,CNN with LSTM didn't perform well. Going to give it a shot with a bigger hidden length (256).,2026-05-21_12-33-40,,,,
52.0,CryCNNClassifierComplex_InitializedWeights,EnesBabyCries1B,20.0,0.001,30.0,23067.0,"{'train': 17300, 'val': 3460, 'test': 2307}",0.789841338059365,19.0,0.597687861271676,19.0,0.873251342015459,19.0,0.2,mps,975.93156504631,,1.5,22050.0,5e-05,512.0,128.0,80.0,120.0,11025.0,"{'lo', 'hu', 'dc'}",False,,False,True,,Back to CryCNNClassifierComplex. Still the best performer.,2026-05-21_13-10-18,,,,
53.0,CryCNNClassifierComplex_InitializedWeights,EnesBabyCries1B,40.0,0.001,30.0,23067.0,"{'train': 17300, 'val': 3460, 'test': 2307}",0.813335578230665,32.0,0.636705202312139,32.0,0.853270175829099,32.0,0.2,mps,1905.13634300232,,1.5,22050.0,0.0001,512.0,128.0,80.0,120.0,11025.0,"{'lo', 'hu', 'dc'}",False,,False,True,,"Version w/initializeed weights was still improving, so try again with more epochs.",2026-05-21_13-39-44,,,,
55.0,CryCNNClassifierComplex,EnesBabyCries1B,40.0,0.001,30.0,23067.0,"{'train': 17300, 'val': 3460, 'test': 2307}",0.811626601051764,29.0,0.635838150289017,36.0,0.843442811097713,29.0,0.2,mps,1933.06513190269,,1.5,22050.0,0.0001,512.0,128.0,80.0,120.0,11025.0,"{'lo', 'hu', 'dc'}",False,,False,True,,"Version w/initializeed weights was still improving, so try again with more epochs.",2026-05-21_14-31-58,,,,
,,,,,,,,,,,,,,,,,CryLSTMClassifier,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,CryLSTMClassifierB,,,,,,,,,,,,,,,,,,,,
